Distance_(microns)	Gray_Value
86.867	16.9928
86.970	19.8098
87.074	15.3414
87.178	20.0136
87.282	19.9637
87.385	25.6156
87.489	24.2989
87.593	22.3924
87.697	17.8410
87.801	18.4500
87.904	15.1927
88.008	19.4651
88.112	17.7504
88.216	12.8594
88.320	13.2853
88.423	11.9587
88.527	13.0066
88.631	12.5252
88.735	11.8882
88.838	12.9208
88.942	13.0811
89.046	16.8304
89.150	12.4536
89.254	13.2980
89.357	20.0699
89.461	18.1505
89.565	20.5627
89.669	18.4752
89.772	18.9698
89.876	20.8871
89.980	18.4731
90.084	13.1238
90.188	12.5278
90.291	9.0973
90.395	10.6352
90.499	15.9304
90.603	13.5659
90.707	10.8878
90.810	8.2951
90.914	10.5767
91.018	10.9865
91.122	11.5370
91.225	12.8137
91.329	9.1052
91.433	9.5675
91.537	12.1036
91.641	12.9158
91.744	9.3970
91.848	13.7744
91.952	17.0117
92.056	14.9201
92.160	16.5470
92.263	20.0261
92.367	19.3645
92.471	19.3116
92.575	27.6415
92.678	21.7119
92.782	17.0614
92.886	13.5263
92.990	17.7978
93.094	17.9561
93.197	14.7073
93.301	16.8628
93.405	13.3376
93.509	15.6882
93.612	17.9797
93.716	15.7789
93.820	12.1018
93.924	10.9371
94.028	15.2963
94.131	14.5356
94.235	21.3551
94.339	23.5662
94.443	22.8614
94.547	26.6086
94.650	40.5120
94.754	33.4037
94.858	38.5862
94.962	38.6952
95.065	42.4359
95.169	41.6694
95.273	41.8176
95.377	34.8763
95.481	30.0500
95.584	27.0553
95.688	31.8668
95.792	23.1459
95.896	20.1563
95.999	20.5170
96.103	15.0271
96.207	15.4334
96.311	20.7710
96.415	16.3431
96.518	14.4161
96.622	13.8107
96.726	16.9455
96.830	11.2828
96.934	10.2948
97.037	24.7866
97.141	25.3453
97.245	29.5579
97.349	25.6673
97.452	29.4387
97.556	44.9645
97.660	49.3001
97.764	40.4469
97.868	42.8416
97.971	55.0027
98.075	45.3683
98.179	44.4447
98.283	35.6025
98.387	31.3447
98.490	25.5258
98.594	20.4613
98.698	17.9491
98.802	15.0223
98.905	14.6822
99.009	13.3880
99.113	9.9034
99.217	11.0322
99.321	14.2552
99.424	10.9698
99.528	9.6075
99.632	8.3275
99.736	10.0671
99.839	14.2333
99.943	16.9913
100.047	13.9211
100.151	15.3444
100.255	18.8401
100.358	26.6111
100.462	28.2739
100.566	27.7155
100.670	28.5472
100.774	36.9873
100.877	29.2819
100.981	31.5045
101.085	28.5187
101.189	21.8980
101.292	19.1762
101.396	15.3315
101.500	17.5283
101.604	17.2239
101.708	17.4050
101.811	11.4871
101.915	15.0173
102.019	16.3359
102.123	17.4299
102.226	13.2768
102.330	23.9854
102.434	18.3019
102.538	17.9230
102.642	17.8869
102.745	16.3376
102.849	16.3570
102.953	15.0745
103.057	13.9296
103.161	9.4969
103.264	9.4558
103.368	9.9665
103.472	9.6082
103.576	11.8603
103.679	13.0281
103.783	13.7802
103.887	10.7857
103.991	17.9690
104.095	20.1826
104.198	18.8245
104.302	16.3294
104.406	19.8007
104.510	33.3642
104.613	32.3212
104.717	24.8435
104.821	32.6171
104.925	37.8660
105.029	39.8646
105.132	50.4999
105.236	39.8239
105.340	32.5378
105.444	35.0203
105.548	36.6578
105.651	27.5232
105.755	31.5843
105.859	33.1381
105.963	22.6905
106.066	23.6313
106.170	22.1535
106.274	17.5754
106.378	20.2258
106.482	15.5288
106.585	19.9281
106.689	18.0966
106.793	15.3822
106.897	23.6978
107.001	21.6413
107.104	21.3911
107.208	28.5895
107.312	24.9106
107.416	33.4234
107.519	29.4570
107.623	41.2858
107.727	51.2776
107.831	41.1210
107.935	41.0245
108.038	42.5430
108.142	30.0038
108.246	31.3391
108.350	28.1315
108.453	20.3384
108.557	19.7551
108.661	14.2868
108.765	10.8607
108.869	11.8118
108.972	10.0562
109.076	13.9469
109.180	12.9938
109.284	9.8624
109.388	8.2091
109.491	9.6786
109.595	11.8532
109.699	11.1744
109.803	15.1404
109.906	12.4693
110.010	12.1354
110.114	17.2152
110.218	18.0649
110.322	24.7353
110.425	26.4348
110.529	32.0326
110.633	30.3387
110.737	33.5880
110.840	50.4820
110.944	57.0553
111.048	48.1088
111.152	51.8508
111.256	53.3862
111.359	49.8802
111.463	43.5416
111.567	37.0481
111.671	39.2059
111.775	31.6974
111.878	34.8638
111.982	27.1848
112.086	16.9515
112.190	15.7696
112.293	19.3698
112.397	12.1570
112.501	11.7376
112.605	11.7545
112.709	10.5177
112.812	10.2386
112.916	9.8034
113.020	9.0801
113.124	10.9810
113.228	9.5002
113.331	11.1668
113.435	14.0203
113.539	19.2233
113.643	16.0486
113.746	13.6321
113.850	11.3820
113.954	17.1028
114.058	13.4022
114.162	13.0133
114.265	18.6233
114.369	10.3451
114.473	13.4575
114.577	14.9470
114.680	17.8427
114.784	18.7222
114.888	15.2900
114.992	15.7172
115.096	19.0209
115.199	16.6412
115.303	17.5779
115.407	20.8534
115.511	21.6452
115.615	16.8513
115.718	18.3106
115.822	26.7189
115.926	25.6784
116.030	17.4046
116.133	36.8487
116.237	27.5799
116.341	20.3300
116.445	16.8151
116.549	19.5141
116.652	21.3919
116.756	17.0893
116.860	20.0307
116.964	19.2201
117.067	15.1830
117.171	11.8054
117.275	10.9967
117.379	13.8252
117.483	11.5645
117.586	16.3573
117.690	11.9015
117.794	14.4323
117.898	12.8398
118.002	15.9513
118.105	22.3449
118.209	27.4543
118.313	34.6661
118.417	34.7713
118.520	35.5766
118.624	37.4569
118.728	43.0982
118.832	37.9202
118.936	37.1426
119.039	40.0285
119.143	29.0473
119.247	26.1772
119.351	26.1167
119.454	21.0719
119.558	19.0745
119.662	15.4186
119.766	15.6380
119.870	15.0723
119.973	15.8050
120.077	14.6043
120.181	11.9799
120.285	16.0454
120.389	13.5985
120.492	15.0390
120.596	18.6307
120.700	12.0818
120.804	14.4156
120.907	16.5021
121.011	19.7510
121.115	19.0478
121.219	26.2522
121.323	24.3400
121.426	26.7732
121.530	27.3824
121.634	26.3536
121.738	30.0051
121.842	35.7874
121.945	36.6400
122.049	42.2518
122.153	42.2705
122.257	39.9880
122.360	35.9773
122.464	24.6598
122.568	30.8454
122.672	24.8601
122.776	28.8558
122.879	23.5437
122.983	21.9092
123.087	22.7455
123.191	24.3882
123.294	18.5873
123.398	14.1213
123.502	19.6064
123.606	13.9538
123.710	12.2936
123.813	15.9999
123.917	20.3574
124.021	25.7954
124.125	17.7216
124.229	20.6815
124.332	26.8156
124.436	25.9613
124.540	26.7463
124.644	26.1943
124.747	35.7556
124.851	32.0757
124.955	29.1991
125.059	33.1675
125.163	22.2721
125.266	26.1698
125.370	25.1923
125.474	18.6548
125.578	19.2713
125.681	16.2853
125.785	17.9175
125.889	13.6838
125.993	15.5985
126.097	17.9766
126.200	17.7897
126.304	14.7857
126.408	15.3661
126.512	12.9094
126.616	19.5601
126.719	22.2666
126.823	21.0470
126.927	26.0973
127.031	30.8035
127.134	31.4268
127.238	32.0908
127.342	32.4901
127.446	25.7497
127.550	23.8367
127.653	24.4211
127.757	26.8019
127.861	22.3881
127.965	30.0556
128.069	21.2946
128.172	19.7807
128.276	16.1225
128.380	15.3364
128.484	15.2371
128.587	13.4345
128.691	12.5553
128.795	11.9480
128.899	11.9637
129.003	10.9407
129.106	19.0500
129.210	15.2155
129.314	17.8770
129.418	14.9588
129.521	16.0920
129.625	21.2526
129.729	22.0942
129.833	20.9039
129.937	24.6610
130.040	21.5384
130.144	22.8587
130.248	21.3675
130.352	16.9262
130.456	14.7111
130.559	16.5107
130.663	19.7100
130.767	13.6773
130.871	17.5949
130.974	16.4014
131.078	12.1484
131.182	18.8510
131.286	15.7425
131.390	16.7832
131.493	18.8441
131.597	21.1952
131.701	20.9617
131.805	18.8404
131.908	17.9129
132.012	13.2129
132.116	15.6674
132.220	12.7062
132.324	14.7946
132.427	16.1250
132.531	12.9632
132.635	13.0047
132.739	12.4891
132.843	12.1561
132.946	15.0739
133.050	17.0211
133.154	17.0383
133.258	14.3278
133.361	13.4882
133.465	15.0387
133.569	18.5164
133.673	19.4451
133.777	17.4669
133.880	25.0006
133.984	28.7901
134.088	31.3526
134.192	34.6497
134.296	32.9163
134.399	32.8220
134.503	31.8866
134.607	24.8297
134.711	20.0123
134.814	27.8180
134.918	28.4350
135.022	19.1666
135.126	17.2028
135.230	16.2328
135.333	12.0458
