Distance_(microns)	Gray_Value
64.8645	200.725
64.9683	178.719
65.0721	171.647
65.1759	148.566
65.2796	124.145
65.3834	82.689
65.4872	42.757
65.5910	36.478
65.6948	37.966
65.7986	34.782
65.9024	30.340
66.0061	27.786
66.1099	47.676
66.2137	64.607
66.3175	88.355
66.4213	117.213
66.5250	138.379
66.6288	161.064
66.7326	163.300
66.8364	168.844
66.9402	163.667
67.0440	156.130
67.1478	99.495
67.2515	61.480
67.3553	48.081
67.4591	39.101
67.5629	27.362
67.6667	24.229
67.7704	23.039
67.8742	13.617
67.9780	17.364
68.0818	20.600
68.1856	29.314
68.2894	45.452
68.3932	61.478
68.4969	90.218
68.6007	101.768
68.7045	123.922
68.8083	141.124
68.9121	139.551
69.0158	146.561
69.1196	128.109
69.2234	110.549
69.3272	94.543
69.4310	60.898
69.5348	51.053
69.6385	48.136
69.7423	49.933
69.8461	45.413
69.9499	61.267
70.0537	72.693
70.1575	79.493
70.2612	69.540
70.3650	60.809
70.4688	34.618
70.5726	29.780
70.6764	31.620
70.7802	25.749
70.8839	16.893
70.9877	10.718
71.0915	18.657
71.1953	21.934
71.2991	24.186
71.4029	25.443
71.5066	31.272
71.6104	46.486
71.7142	53.861
71.8180	99.326
71.9218	103.735
72.0256	110.898
72.1293	134.944
72.2331	127.607
72.3369	114.226
72.4407	104.250
72.5445	90.387
72.6483	72.071
72.7520	47.965
72.8558	33.992
72.9596	21.719
73.0634	21.810
73.1672	24.341
73.2710	31.593
73.3747	35.317
73.4785	37.274
73.5823	42.861
73.6861	49.886
73.7899	40.265
73.8937	32.960
73.9974	44.349
74.1012	31.323
74.2050	30.276
74.3088	23.842
74.4126	28.341
74.5164	28.364
74.6201	38.276
74.7239	53.062
74.8277	61.025
74.9315	69.875
75.0353	108.280
75.1391	115.540
75.2428	114.761
75.3466	106.747
75.4504	103.701
75.5542	84.303
75.6580	67.535
75.7618	52.141
75.8655	34.820
75.9693	22.448
76.0731	21.522
76.1769	19.517
76.2807	18.759
76.3845	20.494
76.4882	23.534
76.5920	19.764
76.6958	21.602
76.7996	24.749
76.9034	24.135
77.0072	36.470
77.1109	51.959
77.2147	64.024
77.3185	75.871
77.4223	89.022
77.5261	84.745
77.6299	93.605
77.7336	69.904
77.8374	60.081
77.9412	41.111
78.0450	32.436
78.1488	22.069
78.2526	20.829
78.3563	18.962
78.4601	27.502
78.5639	32.258
78.6677	49.124
78.7715	48.551
78.8753	64.055
78.9790	68.553
