Distance_(microns)	Gray_Value
69.120	27.944
69.223	30.446
69.327	31.911
69.431	33.325
69.535	42.929
69.639	62.836
69.742	62.213
69.846	79.530
69.950	106.647
70.054	131.304
70.157	163.116
70.261	193.964
70.365	189.758
70.469	194.680
70.573	171.160
70.676	137.677
70.780	116.276
70.884	84.310
70.988	68.412
71.092	55.300
71.195	44.246
71.299	32.206
71.403	27.404
71.507	20.424
71.610	17.434
71.714	14.667
71.818	21.756
71.922	21.837
72.026	18.719
72.129	26.295
72.233	29.225
72.337	34.662
72.441	39.457
72.544	46.057
72.648	68.204
72.752	90.321
72.856	111.208
72.960	148.001
73.063	178.218
73.167	181.245
73.271	154.439
73.375	175.447
73.479	169.526
73.582	153.038
73.686	150.834
73.790	109.739
73.894	75.349
73.997	43.835
74.101	42.433
74.205	24.382
74.309	29.784
74.413	33.721
74.516	18.445
74.620	17.970
74.724	18.940
74.828	14.082
74.931	19.236
75.035	24.577
75.139	19.807
75.243	19.407
75.347	19.479
75.450	20.887
75.554	25.732
75.658	25.374
75.762	29.399
75.866	47.075
75.969	55.911
76.073	69.089
76.177	82.170
76.281	129.764
76.384	140.636
76.488	147.316
76.592	141.508
76.696	133.618
76.800	132.870
76.903	101.801
77.007	113.191
77.111	90.067
77.215	67.447
77.319	51.480
77.422	37.279
77.526	25.602
77.630	23.670
77.734	21.977
77.837	16.136
77.941	13.220
78.045	19.416
78.149	17.161
78.253	16.241
78.356	12.695
78.460	15.376
78.564	16.605
78.668	18.132
78.771	14.653
78.875	16.520
78.979	19.497
79.083	20.679
79.187	25.684
79.290	36.531
79.394	41.396
79.498	59.029
79.602	78.418
79.706	86.975
79.809	112.723
79.913	117.652
80.017	136.065
80.121	146.721
80.224	116.854
80.328	135.316
80.432	125.520
80.536	108.690
80.640	101.460
80.743	86.846
80.847	72.922
80.951	49.270
81.055	42.709
81.158	36.956
81.262	26.837
81.366	25.412
81.470	17.895
81.574	12.582
81.677	14.482
81.781	19.793
81.885	16.819
81.989	17.819
82.093	17.036
82.196	6.848
82.300	10.537
82.404	15.724
82.508	15.415
82.611	14.043
82.715	16.314
82.819	13.185
82.923	11.281
83.027	15.178
83.130	20.707
83.234	25.198
83.338	26.992
83.442	29.550
83.546	25.575
83.649	38.750
83.753	51.419
83.857	67.016
83.961	86.315
84.064	125.330
84.168	113.275
84.272	120.361
84.376	132.301
84.480	102.324
84.583	94.303
84.687	84.432
84.791	79.073
84.895	53.605
84.998	50.284
85.102	39.006
85.206	27.724
85.310	21.014
85.414	24.643
85.517	24.596
85.621	19.410
85.725	14.678
85.829	14.100
85.933	11.385
86.036	14.938
86.140	15.480
86.244	14.498
86.348	15.576
86.451	26.707
86.555	18.512
